VEC-00001 | 0.0100 | -0.1518 | 0.0100 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00110 | 0.2034 | -0.8023 | 0.2034 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00111 | 0.0963 | -0.4280 | 0.0963 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00112 | -0.2516 | 0.5180 | 0.5180 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00113 | -0.0825 | -0.5723 | -0.0825 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00114 | -0.0848 | 0.2013 | 0.2013 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00115 | -0.2795 | 0.4204 | 0.4204 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00116 | 0.0916 | 0.0267 | 0.0916 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00117 | 0.2048 | -0.3762 | 0.2048 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00118 | -0.1821 | 0.0935 | 0.0935 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00119 | -0.1558 | 0.1746 | 0.1746 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00120 | 0.1443 | -0.4510 | 0.1443 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00121 | -0.5798 | 0.2083 | 0.2083 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00122 | 0.0918 | -0.1578 | 0.0918 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00123 | -0.4225 | -0.0103 | -0.0103 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00124 | 0.0017 | 0.4530 | 0.4530 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00125 | 0.2370 | -0.1359 | 0.2370 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00126 | 0.2331 | 0.4592 | 0.4592 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00127 | 0.1399 | 0.0708 | 0.1399 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00128 | 0.2177 | 0.1537 | 0.2177 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00129 | 0.1361 | 0.0137 | 0.1361 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00130 | -0.5364 | -0.1118 | -0.1118 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00131 | 0.3710 | -0.4241 | 0.3710 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00132 | 0.2249 | 0.3554 | 0.3554 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00133 | 0.4172 | 0.1445 | 0.4172 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00134 | -0.0851 | -0.5899 | -0.0851 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00135 | -0.2773 | 0.2440 | 0.2440 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00136 | 0.0981 | 0.1036 | 0.1036 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00137 | 0.1479 | -0.0055 | 0.1479 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00138 | -0.3950 | 0.5894 | 0.5894 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00139 | 0.0305 | 0.1255 | 0.1255 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00140 | -0.5724 | 0.2767 | 0.2767 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00141 | 0.5320 | -0.2180 | 0.5320 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00142 | -0.7636 | 0.5382 | 0.5382 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00143 | 0.6426 | -0.1545 | 0.6426 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00144 | 0.4821 | 0.2534 | 0.4821 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00145 | -0.2630 | 0.5697 | 0.5697 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00146 | -0.3878 | 0.4846 | 0.4846 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00147 | -0.3957 | 0.5692 | 0.5692 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00148 | 0.4388 | 0.0035 | 0.4388 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00149 | 0.0520 | -0.3056 | 0.0520 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00150 | 0.1328 | 0.0874 | 0.1328 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00151 | -0.1484 | -0.1164 | -0.1164 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00152 | -0.2281 | 0.2495 | 0.2495 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00153 | 0.3978 | -0.2645 | 0.3978 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00154 | 0.3778 | -0.0967 | 0.3778 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00155 | -0.1858 | 0.3923 | 0.3923 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00156 | 0.3809 | -0.1589 | 0.3809 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00157 | -0.0913 | 0.2179 | 0.2179 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00158 | -0.4668 | -0.0719 | -0.0719 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00159 | -0.3437 | 0.2435 | 0.2435 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00160 | -0.1268 | -0.2566 | -0.1268 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00161 | 0.1502 | -0.6344 | 0.1502 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00162 | -0.4301 | 0.2303 | 0.2303 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00163 | -0.6020 | 0.2720 | 0.2720 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00164 | 0.3133 | -0.0989 | 0.3133 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00165 | 0.1222 | -0.3104 | 0.1222 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00166 | 0.2685 | -0.2619 | 0.2685 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00167 | -0.1419 | 0.6461 | 0.6461 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00168 | -0.1748 | -0.0740 | -0.0740 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00169 | 0.4477 | -0.2185 | 0.4477 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00170 | 0.4994 | -0.2241 | 0.4994 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00171 | 0.3149 | 0.0412 | 0.3149 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00172 | 0.2309 | -0.1312 | 0.2309 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00173 | -0.6009 | 0.6025 | 0.6025 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00174 | 0.3687 | -0.4249 | 0.3687 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00175 | -0.3863 | 0.3630 | 0.3630 | PROVISIONED_CLUSTER_1 | COMMIT_SECURE_ROUTING_TARGET_B | 200
VEC-00176 | -0.2467 | 0.2459 | 0.2459 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00177 | 0.1688 | -0.4320 | 0.1688 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00178 | -0.6579 | 0.2032 | 0.2032 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00179 | 0.4204 | -0.2309 | 0.4204 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00180 | 0.0976 | -0.6552 | 0.0976 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
VEC-00181 | 0.3945 | -0.0830 | 0.3945 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00182 | 0.7571 | -0.5955 | 0.7571 | PROVISIONED_CLUSTER_0 | COMMIT_SECURE_ROUTING_TARGET_A | 200
VEC-00183 | 0.1970 | -0.5133 | 0.1970 | SEMANTIC_DRIFT_OUTLIER | ROUTE_TO_UNMANAGED_DATA_POOL | 422
